epoch = 0, loss = 1.3947169780731201
epoch = 1, loss = 1.3797900080680847
epoch = 2, loss = 1.3701700568199158
epoch = 3, loss = 1.3741986155509949
epoch = 4, loss = 1.3581572771072388
epoch = 5, loss = 1.350883424282074
epoch = 6, loss = 1.3322272896766663
epoch = 7, loss = 1.3074620962142944
epoch = 8, loss = 1.290172517299652
epoch = 9, loss = 1.258841097354889
epoch = 10, loss = 1.2242716550827026
epoch = 11, loss = 1.1456049084663391
epoch = 12, loss = 1.065587043762207
epoch = 13, loss = 1.1836677193641663
epoch = 14, loss = 1.034304678440094
epoch = 15, loss = 1.0133794844150543
epoch = 16, loss = 0.9651957750320435
epoch = 17, loss = 0.9295945763587952
epoch = 18, loss = 0.8268730938434601
epoch = 19, loss = 0.7756174802780151
epoch = 20, loss = 0.6659516096115112
epoch = 21, loss = 0.6356751620769501
epoch = 22, loss = 0.5950967371463776
epoch = 23, loss = 0.5445229411125183
epoch = 24, loss = 0.4381953775882721
epoch = 25, loss = 0.4342111796140671
epoch = 26, loss = 0.31303391605615616
epoch = 27, loss = 0.343765452504158
epoch = 28, loss = 0.2881469577550888
epoch = 29, loss = 0.23997388780117035
test ACC: 39%
