epoch = 0, loss = 1.3902629613876343
epoch = 1, loss = 1.3777458667755127
epoch = 2, loss = 1.3681659698486328
epoch = 3, loss = 1.3542250394821167
epoch = 4, loss = 1.340249478816986
epoch = 5, loss = 1.3255965113639832
epoch = 6, loss = 1.3058713674545288
epoch = 7, loss = 1.2914151549339294
epoch = 8, loss = 1.243888020515442
epoch = 9, loss = 1.224683940410614
epoch = 10, loss = 1.1328499913215637
epoch = 11, loss = 1.0590745210647583
epoch = 12, loss = 1.0487797856330872
epoch = 13, loss = 0.9733717739582062
epoch = 14, loss = 0.9528317451477051
epoch = 15, loss = 0.8764705955982208
epoch = 16, loss = 0.8391422629356384
epoch = 17, loss = 1.1039784848690033
epoch = 18, loss = 0.985686182975769
epoch = 19, loss = 0.8738874197006226
epoch = 20, loss = 0.8269032835960388
epoch = 21, loss = 0.708173930644989
epoch = 22, loss = 0.6760115921497345
epoch = 23, loss = 0.6597229838371277
epoch = 24, loss = 0.5924353301525116
epoch = 25, loss = 0.6308595836162567
epoch = 26, loss = 0.5893908739089966
epoch = 27, loss = 0.5155107080936432
epoch = 28, loss = 0.4516785740852356
epoch = 29, loss = 0.4592956304550171
test ACC: 51%
